id,author,branch_depth,content,created,current_vote_count,in_focus,is_champion,labels,opposition_count,parent_proposals,primary_label,question,reason_for_change,root_proposal,state,subscription_count,support_count,title,unique_viewer_count,updated
vee7zdpty5ijljm,6a6cecc209785885,0,"<p>Das bestehende Netz von pumpipumpe kann durch die WG's ergänzt werden. Für dezentrale Dinge ist das gut geeignet. Ein allfälliges Zentrallager (Finanzierung?) muss von 'Kümmerer*innen betreut werden, das funktioniert nicht selbstorganisiert.</p><ul><li><p>Es soll definiert werden, welches Material sich optimal zum tauschen/leihen eignet. Vielleicht ist ein Bleistift zu klein, ein Velounterstand zu gross? Sind auch Esswaren betroffen? Neben dem Teilen von Gegenständen könnte auch das Sammel-Bestellen von qualitativ hochwertiger Nahrung in Grossgebinden (z.B. via Biopartner) attraktiv sein.</p></li></ul><ul><li><p>Logistik: Co-Nutzung von Veloanhängern (z.B. via Kooperation mit Polyrolli und Carvelo2go? Wo soll ein eigenes Netz aufgebaut werden und wo bestehendes genutzt werden?</p></li></ul><ul><li><p>Haftung: Was passiert, wenn ich vom ausgeliehenen Föhn einen Stromschlag kriege? Was, wenn ich die ausgeliehene Bohrmaschine kaputt mache?</p></li><li><p>Wer soll alles teilnehmen können? Offen für alle oder nur WG-Netz -&gt; Kann aussenwirkung entfalten!</p></li><li><p>Vernetzen mit ähnlich gelagerten Projekten (z.B. Holaboxen, vielleicht kann dort auch ein Sammelpunkt für Materialtausch entstehen oder eine Abholstation für Sammelessensbestellungen?)<br></p></li></ul><p></p>",2026-08-06 20:53:13.230Z,0,True,True,"[""qoz3dg7s8upvmj5""]",0,[],qoz3dg7s8upvmj5,3o2fj1znev0krvz,,,FinalWinner,2,0,Nutzen von pumpipumpe.ch als Datenbank was wo vorhanden ist,6,2026-08-25 14:30:50.491Z
l6ue0ntwy9qo9p6,407be8b01d4ce342,0,"<h1>Das solidarische Netz der WGs</h1><p>Das WG Netz als kollektiv der kollektive  schafft Möglichkeiten:</p><ul><li><p>Sei es das Teilen von Ressourcen, Fähigkeiten oder Informationen. </p></li><li><p>Die Schaffung einer solidarischen Gemeinschaft wo soziale Kontakte geknüpft und miteinander gelernt und die gemeinsamen Interessen gefunden werden können. </p></li><li><p>...</p></li></ul><p> </p>",2026-08-07 09:56:02.224Z,0,False,False,"[""q04bio9fphn694j""]",0,[],q04bio9fphn694j,76q0g006tjtp7gp,,,Inactive,1,0,Solidaritätsnetzwerk,8,2026-08-22 13:22:00.004Z
xtsnw7ypbsms4jl,6a6cecc209785885,1,"<h1>Das solidarische Netz der WGs</h1><p>Das WG Netz als kollektiv der kollektive schafft Möglichkeiten:</p><ul><li><p>Sei es das Teilen von Ressourcen, Fähigkeiten oder Informationen.</p></li><li><p>Die Schaffung einer solidarischen Gemeinschaft wo soziale Kontakte geknüpft und miteinander gelernt und die gemeinsamen Interessen gefunden werden können.</p></li><li><p>politische Vertretung der Interessen von Menschen, welche in Wohngemeinschaften leben und diese Lebensform für sich ausgesucht haben</p></li></ul><p></p>",2026-08-08 13:22:10.311Z,0,False,False,"[""q04bio9fphn694j""]",0,"[""l6ue0ntwy9qo9p6""]",q04bio9fphn694j,76q0g006tjtp7gp,Politische Dimension eingefügt als Möglichkeit,l6ue0ntwy9qo9p6,Inactive,2,0,Solidaritätsnetzwerk,10,2026-08-22 13:22:00.006Z
i7chbqu0hf4kc4s,216bb226ec191993,0,<p>Für das erfassen vom vorhandenen Material können wir ein eigenes Tool nach unseren Bedürfnissen gestalten.</p><p>Möglichkeiten:</p><ul><li><p>Grosse Freiheit wie wir dieses Tool gestalten (Bebildert/Tabellarisch)</p></li><li><p>Anpassungsfähigkeit bei sich verändernden Bedingungen</p></li></ul><p>Herausforderungen</p><ul><li><p>Sehr viel Aufwand. Wer trägt den? Eine Datenbank müsste auch gepflegt werden.</p></li><li><p>Ein tabellarischer Ansatz würde eine einigermassen genaue Nomenklatur erfordern. Sonst gibts Chaos</p></li></ul><p></p>,2026-08-09 11:33:05.089Z,0,False,True,"[""u6haa7etn99pu49""]",0,[],u6haa7etn99pu49,3o2fj1znev0krvz,,,Inactive,1,0,Eigenes Tool/Excel Sheet für das WG-Netz Material erstellen,5,2026-08-22 13:23:00.009Z
rgjhcdyr8kdvxyz,216bb226ec191993,0,<p>Mit dem bestehenden Material-Chat haben wir eine Plattform wo benötigte Dinge gesucht werden können. Die Verleihung von dezentralem WG-Material kann von den Bewohnenden organisiert werden. Ein Zentrallager würde eine Verantwortliche Person/AG benötigen.</p><p>Vorteile:</p><ul><li><p>Sehr geringer Aufwand</p></li><li><p>Keine Pflege</p></li><li><p>Relativ schnelle und unkomplizierte bilaterale Abwicklung</p></li></ul><p>Nachteile:</p><ul><li><p>Geringe bis keine Reichweite über das WG-Netz hinaus</p></li><li><p>Evtl. nicht niederschwellig genug?</p></li></ul><p></p>,2026-08-09 11:48:00.649Z,0,False,False,"[""tp3x2zythnef3ou""]",0,[],tp3x2zythnef3ou,3o2fj1znev0krvz,,,Inactive,1,0,"Im Material-Chat fragen, wenn jemensch was braucht",7,2026-09-10 12:07:16.411Z
n8luy5w1pc5olz4,216bb226ec191993,0,"<p>Evtl kann die Frage wie man Material erfasst und öffentlich zugängig macht etwas entkoppeln von der Frage wie man es lagert, wem es gehört und wer Verantwortung für Haftung/Reparatur übernimmt. Hier ein paar Gedanken</p><p>Dezentral in den WGs gelagert</p><ul><li><p>Besitz- und Verantwortungsverhältnisse sind (auch rechtlich?) relativ klar.</p></li><li><p>WGs können selbst entscheiden ob sie eine Miete (für teures Equipment) verlangen wollen, damit Dinge wieder repariert werden können (alternativ ein Soli-Fond im WG-Netz?)</p></li><li><p>Kann vielleicht nervige Streitereien geben ohne klare Rahmenbedingungen?</p></li></ul><p>Zentrallager</p><ul><li><p>Je nach Situation einfacher Zugang für alle (z.B. Garage mit Zahlenschloss)</p></li><li><p>Es können je nach Lagerraum grössere Sachen gelagert werden, die sich eine WG alleine nicht anschaffen würde</p></li><li><p>Finanzierung?</p></li><li><p>Braucht Verantwortliche Personen/AG</p></li></ul><p>Dezentrale Zentrallager?</p><ul><li><p>Die Räume stellen WGs mit viel Platz. Das Material gehört dem WG-Netz</p></li><li><p>Keine Fixkosten fürs WG-Netz (Kompensation für die WGs?)</p></li><li><p>Kann schnell unübersichtlich werden.</p></li><li><p>Verantwortlichkeiten müssten klar vereinbart werden (Ordnung/Zugang ermöglichen, usw...)</p></li></ul><p></p>",2026-08-09 12:07:58.259Z,0,False,True,"[""adrzgivw8x6vlnp""]",0,[],adrzgivw8x6vlnp,3o2fj1znev0krvz,,,Inactive,1,0,Wo lagern wir was?,10,2026-08-25 19:31:54.503Z
d8last7n0bdbqme,216bb226ec191993,1,"<p><strong>Bestehende Tools nutzen</strong></p><p>Das bestehende Netz von pumpipumpe kann durch die WG's ergänzt werden. Für dezentrale Dinge ist das gut geeignet. Ein allfälliges Zentrallager (Finanzierung?) muss von 'Kümmerer*innen betreut werden, das funktioniert nicht selbstorganisiert.</p><ul><li><p>Es soll definiert werden, welches Material sich optimal zum tauschen/leihen eignet. Vielleicht ist ein Bleistift zu klein, ein Velounterstand zu gross? <strong>(Wäre durch das Tool vorgegeben)</strong></p></li></ul><ul><li><p>Logistik: Co-Nutzung von Veloanhängern (z.B. via Kooperation mit Polyrolli und Carvelo2go? Wo soll ein eigenes Netz aufgebaut werden und wo bestehendes genutzt werden?</p></li><li><p>Haftung: Was passiert, wenn ich vom ausgeliehenen Föhn einen Stromschlag kriege? Was, wenn ich die ausgeliehene Bohrmaschine kaputt mache? <strong>(Wie macht das pumpipumpe?)</strong></p></li></ul><ul><li><p>Wer soll alles teilnehmen können? Offen für alle oder nur WG-Netz -&gt; Kann aussenwirkung entfalten! <strong>(Bei bestehenden Tools würde sich diese Frage erübrigen?)</strong></p></li></ul><p><strong>Nahrungsmittel beschaffung</strong></p><ul><li><p>Vernetzen mit ähnlich gelagerten Projekten (z.B. Holaboxen, vielleicht kann dort auch ein Sammelpunkt für Materialtausch entstehen oder eine Abholstation für Sammelessensbestellungen?)</p></li><li><p>Sind auch Esswaren betroffen? Neben dem Teilen von Gegenständen könnte auch das Sammel-Bestellen von qualitativ hochwertiger Nahrung in Grossgebinden (z.B. via Biopartner) attraktiv sein.</p></li><li><p><strong>Esswaren würde ich separat betrachten, weil es mehr um Verteilung als um Lagerung geht? Ausser es würde sich um Mengen handeln, die man nicht mehr in einer WG lagern kann. Ein Projekt dieser Grössenordnung sprengt aber glaube ich den Rahmen. Und bei kleineren Mengen würde es sich mehr um Beschaffung und direkte Verteilung gehen und andere Strukturen erfordern?</strong></p></li></ul><p></p>",2026-08-09 13:20:49.356Z,0,False,False,"[""qoz3dg7s8upvmj5""]",0,"[""vee7zdpty5ijljm""]",qoz3dg7s8upvmj5,3o2fj1znev0krvz,"Ich alles in ""bestehende Tools/Strukturen nutzen"" und ""Nahrungsmittel"" separiert",vee7zdpty5ijljm,Inactive,2,0,Nutzen von pumpipumpe.ch als Datenbank was wo vorhanden ist,7,2026-08-25 14:31:13.166Z
z5ovabzo2syrqbj,216bb226ec191993,2,"<h1>Das solidarische Netz der WGs</h1><p>Das WG Netz als kollektiv der kollektive schafft Möglichkeiten:</p><ul><li><p>Sei es das Teilen von Ressourcen, Fähigkeiten oder Informationen.</p></li><li><p>Die Schaffung einer solidarischen Gemeinschaft wo soziale Kontakte geknüpft und miteinander gelernt und die gemeinsamen Interessen gefunden werden können.</p></li><li><p>politische Vertretung der Interessen von Menschen, welche in Wohngemeinschaften leben und diese Lebensform für sich ausgesucht haben. <strong>Das WG-Netz soll dabei eine möglichst neutrale Plattform bieten, mit dem Ziel  verschiedene politische Akteure zu vernetzen.</strong></p></li></ul><p></p>",2026-08-12 15:24:49.337Z,0,False,False,"[""q04bio9fphn694j""]",0,"[""xtsnw7ypbsms4jl""]",q04bio9fphn694j,76q0g006tjtp7gp,"Die Annahme hinzufügen, dass das WG-Netz politisch neutral ist.",l6ue0ntwy9qo9p6,Inactive,1,0,Solidaritätsnetzwerk,7,2026-08-22 13:22:00.007Z
yuk7erdsr4l9gbd,216bb226ec191993,2,"<h1>Das solidarische Netz der WGs</h1><p>Das WG Netz als kollektiv der kollektive schafft Möglichkeiten:</p><ul><li><p>Sei es das Teilen von Ressourcen, Fähigkeiten oder Informationen.</p></li><li><p>Die Schaffung einer solidarischen Gemeinschaft wo soziale Kontakte geknüpft und miteinander gelernt und die gemeinsamen Interessen gefunden werden können.</p></li><li><p>politische Vertretung der Interessen von Menschen, welche in Wohngemeinschaften leben und diese Lebensform für sich ausgesucht haben.<strong> Das WG-Netz bezieht aktiv Stellung in der politischen Landschaft und vertritt gewisse Grundhaltungen.</strong></p></li></ul><p></p>",2026-08-12 15:26:01.634Z,0,False,False,"[""q04bio9fphn694j""]",0,"[""xtsnw7ypbsms4jl""]",q04bio9fphn694j,76q0g006tjtp7gp,"Die Annahme hinzufügen, dass das WG-Netz sich politisch positioniert",l6ue0ntwy9qo9p6,Inactive,2,0,Solidaritätsnetzwerk,7,2026-08-22 13:22:00.007Z
px3acjduduouqz6,35a5f57f8816142e,1,<p>Material-Chat als Unterchat für den Haupt-WGNetz chat einbinden. Damit haben wir eine Plattform wo benötigte Dinge gesucht werden können. Die Verleihung von dezentralem WG-Material kann von den Bewohnenden organisiert werden. Ein Zentrallager würde eine Verantwortliche Person/AG benötigen.</p><p>Vorteile:</p><ul><li><p>Sehr geringer Aufwand</p></li><li><p>Keine Pflege</p></li><li><p>Relativ schnelle und unkomplizierte bilaterale Abwicklung</p></li></ul><p>Nachteile:</p><ul><li><p>Geringe bis keine Reichweite über das WG-Netz hinaus</p></li><li><p>Evtl. nicht niederschwellig genug?</p></li></ul><p></p>,2026-08-14 09:17:20.954Z,0,True,True,"[""tp3x2zythnef3ou""]",0,"[""rgjhcdyr8kdvxyz""]",tp3x2zythnef3ou,3o2fj1znev0krvz,Material-Chat und Hauptchat verknüpfen.,rgjhcdyr8kdvxyz,FinalWinner,2,0,"Im Material-Chat fragen, wenn jemensch was braucht",8,2026-09-10 12:07:17.731Z
