id,avatar,created,email,emailVisibility,has_consented,has_seen_onboarding,language,name,persona,role,simulation,updated,user_agent,verified
6a6cecc209785885,,2026-08-06 20:41:39.184Z,6a6cecc209785885@pseudo.local,False,True,True,de,,,participant,False,2026-08-06 20:42:22.358Z,Firefox/Desktop,False
216bb226ec191993,,2026-08-09 11:08:10.502Z,216bb226ec191993@pseudo.local,False,True,True,de,,,participant,False,2026-08-09 11:10:46.689Z,Chrome/Desktop,False
6a4af8b5c50c45a9,,2026-08-10 09:23:23.932Z,6a4af8b5c50c45a9@pseudo.local,False,True,True,de,,,participant,False,2026-08-10 09:23:57.964Z,Safari/Mobile,False
35a5f57f8816142e,,2026-08-14 09:04:41.900Z,35a5f57f8816142e@pseudo.local,False,True,True,de,,,participant,False,2026-08-14 09:07:37.969Z,Chrome/Desktop,False
ee5e4e5bfc419bad,,2026-08-14 10:26:41.762Z,ee5e4e5bfc419bad@pseudo.local,False,True,True,de,,,participant,False,2026-08-14 10:27:49.758Z,Chrome/Desktop,False
762fef61cd09705e,,2026-08-14 11:47:06.385Z,762fef61cd09705e@pseudo.local,False,True,True,de,,,participant,False,2026-08-14 11:48:46.939Z,Edge/Desktop,False
b5234477b29af758,,2026-08-14 11:50:06.938Z,b5234477b29af758@pseudo.local,False,True,True,de,,,participant,False,2026-08-14 11:52:10.190Z,Firefox/Mobile,False
9b6849405eda0dbd,,2026-08-16 11:30:26.319Z,9b6849405eda0dbd@pseudo.local,False,True,True,de,,,participant,False,2026-08-16 11:30:47.981Z,Chrome/Mobile,False
7c575f07d0147059,,2026-08-17 07:33:28.207Z,7c575f07d0147059@pseudo.local,False,True,True,de,,,participant,False,2026-08-17 07:35:15.507Z,Edge/Mobile,False
4ae21a849ee008e7,,2026-08-18 13:37:05.176Z,4ae21a849ee008e7@pseudo.local,False,True,True,de,,,participant,False,2026-08-18 13:37:10.300Z,Chrome/Desktop,False
a656e6eac2dca9c8,,2026-08-18 18:14:19.685Z,a656e6eac2dca9c8@pseudo.local,False,True,True,en,,,participant,False,2026-08-18 18:14:37.317Z,Chrome/Mobile,False
b209c2355deb9852,,2026-08-19 12:28:43.072Z,b209c2355deb9852@pseudo.local,False,True,True,de,,,participant,False,2026-08-19 12:29:17.062Z,Chrome/Mobile,False
