id,created,occurred_at,proposal,question,updated,user,vote
typ8r395cknee0n,2026-07-28 11:16:38.638Z,2026-07-28 11:16:38.638Z,4ye5dsqpshy40jr,0w3z1e5u1y1d83t,2026-08-05 16:14:55.493Z,407be8b01d4ce342,0
5vktno1y0tj629p,2026-07-28 11:33:57.162Z,2026-07-28 11:33:57.162Z,ppkkg16jlpylazv,0w3z1e5u1y1d83t,2026-07-28 11:34:05.159Z,3e36e627a64bac27,0
bi2xq7ymdq2h84u,2026-07-28 13:23:48.123Z,,ppkkg16jlpylazv,0w3z1e5u1y1d83t,2026-07-28 13:23:59.392Z,de13859e1d6aea12,0
v64y9n47p93yxfp,2026-07-28 13:59:57.772Z,,ppkkg16jlpylazv,0w3z1e5u1y1d83t,2026-08-03 12:42:30.708Z,407be8b01d4ce342,1
s1pir4jdnvt7pdq,2026-07-30 08:55:26.615Z,2026-07-30 08:55:26.615Z,kfb0ib2gefppy6l,0w3z1e5u1y1d83t,2026-08-03 09:00:09.377Z,407be8b01d4ce342,0
6iizs9ff2arw174,2026-07-31 08:26:21.212Z,2026-07-31 08:26:21.212Z,l5sqzdyfozw6267,0w3z1e5u1y1d83t,2026-07-31 08:26:21.212Z,15e064539716cfbb,1
wwgiqtfdhyr7b77,2026-08-01 08:35:16.527Z,2026-08-01 08:35:16.527Z,tbzg254knicrhqz,0w3z1e5u1y1d83t,2026-08-01 08:35:16.527Z,34063db6dedf42bc,1
bac1ky8ctwmyk5y,2026-08-01 08:36:10.893Z,2026-08-01 08:36:10.893Z,rcjsk2waeqw14pm,0w3z1e5u1y1d83t,2026-08-01 08:36:10.893Z,34063db6dedf42bc,1
j93tcjuv7m8k977,2026-08-01 08:39:58.049Z,2026-08-01 08:39:58.048Z,ag1c4yqxa4oe2w4,0w3z1e5u1y1d83t,2026-08-01 08:39:58.049Z,34063db6dedf42bc,1
8ewcb0obyq8cez4,2026-08-02 09:10:57.221Z,,tbzg254knicrhqz,0w3z1e5u1y1d83t,2026-08-02 09:10:57.221Z,407be8b01d4ce342,1
0wbe1nok8nnlyd8,2026-08-02 10:49:16.062Z,,l5sqzdyfozw6267,0w3z1e5u1y1d83t,2026-08-04 12:04:43.078Z,407be8b01d4ce342,1
cdrwua7g64mofc3,2026-08-03 10:21:46.057Z,,ppkkg16jlpylazv,0w3z1e5u1y1d83t,2026-08-05 16:26:23.919Z,b003312e6c38c8a5,1
ws98d3dol86et3m,2026-08-03 10:22:20.020Z,,4ye5dsqpshy40jr,0w3z1e5u1y1d83t,2026-08-05 16:27:04.876Z,b003312e6c38c8a5,1
bjhq2a9cgsegkse,2026-08-03 10:22:43.006Z,,g8f2osl4qpr7ixl,0w3z1e5u1y1d83t,2026-08-05 16:26:18.132Z,b003312e6c38c8a5,0
